"","soc_uni","soc","original_title","new_occ_title","new_occ_description","new_occ_word","new_occ_definition"
"193","27-4021","27-4021.00","Photographers","Photographers take pictures with cameras. They take pictures of people, places, and things. Some work with film. Some work with digital cameras, computers, and printers.","Photographers take pictures with cameras. They take pictures of people, places, and things. Some work with film. Some work with digital cameras, computers, and printers.",NA,NA
"194","29-1124","29-1124.00","Radiation Therapists","Therapists give radiation treatments to patients. They follow doctors’ orders. They run radiation machines. They get equipment ready for use. They check treatment orders. They keep and update records, reports, and files. They work with doctors, techs, and patients.","Therapists give radiation treatments to patients. They follow doctors’ orders. They run radiation machines. They get equipment ready for use. They check treatment orders. They keep and update records, reports, and files. They work with doctors, techs, and patients.","Tech","Short for technician."
"195","29-1126","29-1126.00","Respiratory Therapists","Therapists treat and care for people with breathing problems. They check how well patients can breathe. They choose, check, and run breathing machines and treatments for patients. They oversee techs. They keep and update records.","Therapists treat and care for people with breathing problems. They check how well patients can breathe. They choose, check, and run breathing machines and treatments for patients. They oversee techs. They keep and update records.","Tech","Short for technician."
"196","29-1141","29-1141.00","Registered Nurses","Nurses care for sick, hurt, and disabled patients. They take care of patients’ needs and problems. They set up nursing care plans. They keep records. Some teach patients how to care for themselves and stay healthy. They need to be licensed and registered.","Nurses care for sick, hurt, and disabled patients. They take care of patients’ needs and problems. They set up nursing care plans. They keep records. Some teach patients how to care for themselves and stay healthy. They need to be licensed and registered.",NA,NA
"197","29-2012","29-2012.00","Medical and Clinical Laboratory Technicians","Techs work in healthcare settings and labs. They run tests to diagnose, treat, and prevent disease. They follow the orders of a supervisor.  ","Techs work in healthcare settings and labs. They run tests to diagnose, treat, and prevent disease. They follow the orders of a supervisor.  ","Diagnose","To find out what disease or illness is causing a patient’s problems."
"198","29-2021","29-2021.00","Dental Hygienists","Hygienists clean teeth. They check a patient’s mouth, head, and neck for signs of disease. Some take x-rays. Some teach patients how to care for their teeth and gums.","Hygienists clean teeth. They check a patient’s mouth, head, and neck for signs of disease. Some take x-rays. Some teach patients how to care for their teeth and gums.",NA,NA
"199","29-2031","29-2031.00","Cardiovascular Technologists and Technicians","Techs  run tests on patients who have problems with their lungs, heart, or veins. Technologists do more highly-skilled tasks than techs.","Techs  run tests on patients who have problems with their lungs, heart, or veins. Technologists do more highly-skilled tasks than techs.","Tech","Short for technician."
"200","29-2032","29-2032.00","Diagnostic Medical Sonographers","Testers use ultrasound equipment. They record the workings of patients’ internal organs. They make recordings for doctors’ use.","Testers use ultrasound equipment. They record the workings of patients’ internal organs. They make recordings for doctors’ use.","Internal","Inside the body."
"201","29-2033","29-2033.00","Nuclear Medicine Technologists","Technologists give patients radioactive medicine for tests and treatment. They get the medicine ready. They prepare the dose. They use testing and treatment equipment. They follow testing methods and guidelines. They check patients’ blood and cells for problems.","Technologists give patients radioactive medicine for tests and treatment. They get the medicine ready. They prepare the dose. They use testing and treatment equipment. They follow testing methods and guidelines. They check patients’ blood and cells for problems.","Cells","The basic materials that make up the body."
"202","29-2034","29-2034.00","Radiologic Technologists","Technologists take imaging scans of patients’ bodies. Those scans include x-rays, CAT scans, and more. They get patients ready for scans.","Technologists take imaging scans of patients’ bodies. Those scans include x-rays, CAT scans, and more. They get patients ready for scans.","Imaging","Using pictures."
"203","29-2035","29-2035.00","Magnetic Resonance Imaging Technologists","Technologists take MRI scans of patients’ body parts. They check on patients’ comfort and safety. They make sure scans are clear. They get patients ready for the scan.","Technologists take MRI scans of patients’ body parts. They check on patients’ comfort and safety. They make sure scans are clear. They get patients ready for the scan.","MRI","Magnetic Resonance Imaging. A machine that uses powerful magnets."
"204","29-2041","29-2041.00","Emergency Medical Technicians and Paramedics","EMTs and paramedics give medical help in an emergency. They treat sick and hurt people. They check for injuries and illness. They bring patients to hospitals.","EMTs and paramedics give medical help in an emergency. They treat sick and hurt people. They check for injuries and illness. They bring patients to hospitals.",NA,NA
"205","29-2052","29-2052.00","Pharmacy Technicians","Techs work in pharmacies. They get drugs ready for patients. They follow the orders of a pharmacist. They measure, mix, count, label and record doses of drugs.","Techs work in pharmacies. They get drugs ready for patients. They follow the orders of a pharmacist. They measure, mix, count, label and record doses of drugs.","Tech","Short for technician."
"206","29-2055","29-2055.00","Surgical Technologists","Technologists help with surgeries. They follow the orders of doctors, nurses, and others. They set up the operating room. They get patients ready for surgery. They adjust lights and equipment. They count supplies. They give tools to doctors and helpers. They hold tools, cut stitches, and do other helpful tasks.","Technologists help with surgeries. They follow the orders of doctors, nurses, and others. They set up the operating room. They get patients ready for surgery. They adjust lights and equipment. They count supplies. They give tools to doctors and helpers. They hold tools, cut stitches, and do other helpful tasks.",NA,NA
"207","29-2056","29-2056.00","Veterinary Technologists and Technicians","Techs  run tests used to diagnose and treat animals. They prepare medicine. They test urine, blood, and stool samples. They clean and take care of equipment. Some help vets during surgery. Technologists do more highly-skilled tasks than techs.","Techs  run tests used to diagnose and treat animals. They prepare medicine. They test urine, blood, and stool samples. They clean and take care of equipment. Some help vets during surgery. Technologists do more highly-skilled tasks than techs.","Diagnose","To find out what disease or illness is causing a patient’s problems."
"208","29-2057","29-2057.00","Ophthalmic Medical Technicians","Techs help eye doctors. Some give eye tests to patients. Some give eye medicine to patients. They tell patients how to care for and use eyeglasses and contact lenses.","Techs help eye doctors. Some give eye tests to patients. Some give eye medicine to patients. They tell patients how to care for and use eyeglasses and contact lenses.","Tech","Short for technician."
"209","29-2061","29-2061.00","Licensed Practical and Licensed Vocational Nurses","Nurses care for sick, hurt, and disabled patients. Some work in hospitals, nursing homes, and clinics. Some work in private or group homes. Some follow the orders of a registered nurse. They need a license.","Nurses care for sick, hurt, and disabled patients. Some work in hospitals, nursing homes, and clinics. Some work in private or group homes. Some follow the orders of a registered nurse. They need a license.",NA,NA
"210","29-2071","29-2071.00","Medical Records and Health Information Technicians","Techs keep and update records on patients. They work in hospitals and clinics. They follow healthcare rules and standards. They report patient health information, as needed.","Techs keep and update records on patients. They work in hospitals and clinics. They follow healthcare rules and standards. They report patient health information, as needed.","Tech","Short for technician."
"211","29-2081","29-2081.00","Opticians, Dispensing","Opticians measure, fit, and adjust eyeglass lenses, frames, and contact lenses. They read and follow a doctor’s prescription. They tell patients how to put in, take out, and care for contact lenses. They help customers pick out eyeglass frames. They make sure lenses fit frames right for clear eyesight. They write work orders.","Opticians measure, fit, and adjust eyeglass lenses, frames, and contact lenses. They read and follow a doctor’s prescription. They tell patients how to put in, take out, and care for contact lenses. They help customers pick out eyeglass frames. They make sure lenses fit frames right for clear eyesight. They write work orders.","Prescription","A doctor’s written order."
"212","29-2092","29-2092.00","Hearing Aid Specialists","Specialists pick and fit hearing aids for customers. They give hearing tests. They check test results. They check how well hearing aids are working. They make and adjust models of patients’ ears.","Specialists pick and fit hearing aids for customers. They give hearing tests. They check test results. They check how well hearing aids are working. They make and adjust models of patients’ ears.",NA,NA
"213","29-9012","29-9012.00","Occupational Health and Safety Technicians","Techs collect data about workplace health and safety. They run and test programs to lower workers’ risks.  ","Techs collect data about workplace health and safety. They run and test programs to lower workers’ risks.  ","Data","Facts, numbers, and information."
"214","31-2011","31-2011.00","Occupational Therapy Assistants","Assistants work with occupational therapists. They help come up with treatment plans for patients. They help carry out those treatment plans. They keep records of patients’ progress. They follow state laws. Most need formal training.","Assistants work with occupational therapists. They help come up with treatment plans for patients. They help carry out those treatment plans. They keep records of patients’ progress. They follow state laws. Most need formal training.","Occupational therapy","Treatment to help with daily tasks of life."
"215","31-2012","31-2012.00","Occupational Therapy Aides","Aides follow the orders of a therapist or assistant. They only do tasks they are told to do. They get patients and treatment rooms ready.","Aides follow the orders of a therapist or assistant. They only do tasks they are told to do. They get patients and treatment rooms ready.","Occupational therapy","Treatment to help with daily tasks of life."
"216","31-2021","31-2021.00","Physical Therapist Assistants","Assistants work with physical therapists. They help come up with treatment plans for patients. They help carry out those treatment plans. They keep records of patients’ progress. They follow state laws. Most need formal training.","Assistants work with physical therapists. They help come up with treatment plans for patients. They help carry out those treatment plans. They keep records of patients’ progress. They follow state laws. Most need formal training.","Physical therapy","Treatment to help the body move and work."
"217","31-9011","31-9011.00","Massage Therapists","Therapists give massages to patients. Some check to see how much movement or strength a patient has in a certain body part. Some help patients with a treatment plan.","Therapists give massages to patients. Some check to see how much movement or strength a patient has in a certain body part. Some help patients with a treatment plan.","Massages","Treatments where hands are used to touch, rub, and squeeze muscles."
"218","31-9091","31-9091.00","Dental Assistants","Assistants help dentists. They set up equipment. They get patients ready for treatment. They keep records.","Assistants help dentists. They set up equipment. They get patients ready for treatment. They keep records.",NA,NA
"219","31-9092","31-9092.00","Medical Assistants","Assistants work with doctors. They follow doctors’ orders. They do office work and healthcare work. They set up times for patient visits. They keep and update records, billing, and coding data. They deal with insurance. Some take and record patients’ medical histories and vital signs. Some get patients ready for tests. Some draw blood and give medicine.","Assistants work with doctors. They follow doctors’ orders. They do office work and healthcare work. They set up times for patient visits. They keep and update records, billing, and coding data. They deal with insurance. Some take and record patients’ medical histories and vital signs. Some get patients ready for tests. Some draw blood and give medicine.","Data","Facts, numbers, and information."
"220","31-9094","31-9094.00","Medical Transcriptionists","Transcribers write down the spoken and recorded notes of doctors and healthcare workers. They use electronic equipment. They change abbreviations into words that can be easily understood. They edit, as needed. They turn in reports in printed or electronic form for review.","Transcribers write down the spoken and recorded notes of doctors and healthcare workers. They use electronic equipment. They change abbreviations into words that can be easily understood. They edit, as needed. They turn in reports in printed or electronic form for review.","Abbreviation","A shortened form of a word."
"221","31-9096","31-9096.00","Veterinary Assistants and Laboratory Animal Caretakers","Assistants care for pets and nonfarm animals. They give food and water. They check for signs of illness and disease. They clean cages and work areas. They clean equipment. Some care for animals after an operation. Some give medicine and take samples. They follow the orders of a vet, tech, or other supervisor.","Assistants care for pets and nonfarm animals. They give food and water. They check for signs of illness and disease. They clean cages and work areas. They clean equipment. Some care for animals after an operation. Some give medicine and take samples. They follow the orders of a vet, tech, or other supervisor.",NA,NA
"222","31-9097","31-9097.00","Phlebotomists","Phlebotomists draw blood from patients. They tell patients what they will be doing. They help patients who feel faint or sick.","Phlebotomists draw blood from patients. They tell patients what they will be doing. They help patients who feel faint or sick.",NA,NA
"223","33-1011","33-1011.00","First-Line Supervisors of Correctional Officers","First-line supervisors watch over prison officers and jailers. They give officers tasks to do. They make sure officers are doing their jobs in the right way. They make sure rules are followed.","First-line supervisors watch over prison officers and jailers. They give officers tasks to do. They make sure officers are doing their jobs in the right way. They make sure rules are followed.",NA,NA
"224","39-1021","39-1021.00","First-Line Supervisors of Personal Service Workers","First-line supervisors watch over personal service workers. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.","First-line supervisors watch over personal service workers. They give workers tasks to do. They make sure workers are doing their jobs in the right way. They make sure rules are followed.","Personal service workers","Workers who do tasks for people. They include flight attendants, hairdressers, caddies, and others."
"225","39-5011","39-5011.00","Barbers","Barbers cut, wash, and style hair. They trim beards and give shaves.","Barbers cut, wash, and style hair. They trim beards and give shaves.",NA,NA
"226","39-5012","39-5012.00","Hairdressers, Hairstylists, and Cosmetologists","Stylists improve the look of hair, skin, and bodies. Some cut, color, and change the look of hair. Some put makeup on customers. Some get wigs ready for people to wear. Some remove body hair.","Stylists improve the look of hair, skin, and bodies. Some cut, color, and change the look of hair. Some put makeup on customers. Some get wigs ready for people to wear. Some remove body hair.",NA,NA
"227","39-5094","39-5094.00","Skincare Specialists","Workers improve the look of skin. They treat the face and body. Some workers remove hair.","Workers improve the look of skin. They treat the face and body. Some workers remove hair.",NA,NA
"228","39-6012","39-6012.00","Concierges","Porters help guests in hotels, apartments, and office buildings. They take messages. They help people get where they need to go. They offer helpful tips about things to do in the neighborhood.  ","Porters help guests in hotels, apartments, and office buildings. They take messages. They help people get where they need to go. They offer helpful tips about things to do in the neighborhood.  ",NA,NA
"229","39-7011","39-7011.00","Tour Guides and Escorts","Tour guides take people to see interesting places. They work one-on-one or with groups.","Tour guides take people to see interesting places. They work one-on-one or with groups.",NA,NA
"230","39-9031","39-9031.00","Fitness Trainers and Aerobics Instructors","Trainers help people get fit. They show people how to exercise in the right way. Some plan workouts. Some run classes. They work one-on-one or with groups.","Trainers help people get fit. They show people how to exercise in the right way. Some plan workouts. Some run classes. They work one-on-one or with groups.","Exercise","To use your body in a healthy way that helps you get strong or lose weight."
"231","39-9041","39-9041.00","Residential Advisors","Advisors work in live-in settings like college dorms and group homes. Some help residents with problems. Some keep records and tell residents what rooms to live in. Some order supplies. Some report any needed repairs.","Advisors work in live-in settings like college dorms and group homes. Some help residents with problems. Some keep records and tell residents what rooms to live in. Some order supplies. Some report any needed repairs.","Resident","A person who lives in a certain place."
"232","41-3011","41-3011.00","Advertising Sales Agents","Agents use ads to make the public want to buy certain products. They put ads in print, on Web sites, and on signs. They fill time spots on TV and radio shows. They get store owners to put up displays to sell certain products.  ","Agents use ads to make the public want to buy certain products. They put ads in print, on Web sites, and on signs. They fill time spots on TV and radio shows. They get store owners to put up displays to sell certain products.  ","Displays","Things set up for show."
"233","41-9022","41-9022.00","Real Estate Sales Agents","Agents rent, buy, or sell real estate properties. Those include homes, businesses, and land. They check property listings. They bring buyers to see properties. They draw up contracts. They set up rules of sale.","Agents rent, buy, or sell real estate properties. Those include homes, businesses, and land. They check property listings. They bring buyers to see properties. They draw up contracts. They set up rules of sale.",NA,NA
"234","43-4011","43-4011.00","Brokerage Clerks","Clerks help with buying, selling, and holding securities. They write orders to buy and sell stocks. They add up taxes owed on sales. They check orders. They check stock prices. They keep track of how much securities are worth. They give out payments. They keep daily records.","Clerks help with buying, selling, and holding securities. They write orders to buy and sell stocks. They add up taxes owed on sales. They check orders. They check stock prices. They keep track of how much securities are worth. They give out payments. They keep daily records.","Securities","Any proof of ownership or debt that has a money value. Includes stocks and bonds."
"235","43-4061","43-4061.00","Eligibility Interviewers, Government Programs","Interviewers help people learn if they can take part in government programs. Those include welfare, housing, and aid programs. They check to see who meets the rules and guidelines to sign up.","Interviewers help people learn if they can take part in government programs. Those include welfare, housing, and aid programs. They check to see who meets the rules and guidelines to sign up.",NA,NA
"236","43-4161","43-4161.00","Human Resources Assistants, Except Payroll and Timekeeping","Workers keep and update records on employees. They keep track of when workers start and stop working at a job. They collect workers’ contact information. They keep track of earnings, missed work, raises, complaints, and more. They write and file reports.","Workers keep and update records on employees. They keep track of when workers start and stop working at a job. They collect workers’ contact information. They keep track of earnings, missed work, raises, complaints, and more. They write and file reports.",NA,NA
"237","43-5061","43-5061.00","Production, Planning, and Expediting Clerks","Clerks keep the production process running smoothly. They plan the timelines and deadlines for work to get done. They make sure work stays on time. They think of ways to speed up the process. They file reports. They keep track of progress.","Clerks keep the production process running smoothly. They plan the timelines and deadlines for work to get done. They make sure work stays on time. They think of ways to speed up the process. They file reports. They keep track of progress.","Production","The act of making something."
"238","43-6013","43-6013.00","Medical Secretaries","Secretaries do office work in a medical setting. Some set up times for patients to see a doctor. Some bill patients. Some keep and update patient records, reports, and charts.","Secretaries do office work in a medical setting. Some set up times for patients to see a doctor. Some bill patients. Some keep and update patient records, reports, and charts.",NA,NA
"239","43-6014","43-6014.00","Secretaries and Administrative Assistants, Except Legal, Medical, and Executive","Secretaries do office work. They write letters. They set up meeting times. They do filing. They answer questions for callers.","Secretaries do office work. They write letters. They set up meeting times. They do filing. They answer questions for callers.","Administrative","Having to do with office work and business."
"240","47-2011","47-2011.00","Boilermakers","Workers build, make, clean, and fix boilers and furnaces. They use hand and power tools. Some follow blueprints. Some check to make sure boilers are working right.","Workers build, make, clean, and fix boilers and furnaces. They use hand and power tools. Some follow blueprints. Some check to make sure boilers are working right.","Boiler","A machine that heats water."
"241","47-4041","47-4041.00","Hazardous Materials Removal Workers","Collectors pack, move, and get rid of hazardous waste. Some use trucks or moving equipment. They need special training, permits, and certificates.","Collectors pack, move, and get rid of hazardous waste. Some use trucks or moving equipment. They need special training, permits, and certificates.","Hazardous","Harmful or high-risk."
"242","49-2011","49-2011.00","Computer, Automated Teller, and Office Machine Repairers","Techs set up and fix office machines, ATMs, and more. They keep machines working well.","Techs set up and fix office machines, ATMs, and more. They keep machines working well.","Tech","Short for technician."
"243","49-2022","49-2022.00","Telecommunications Equipment Installers and Repairers, Except Line Installers","Techs set up and fix telecommunications equipment. They work in people’s homes and in businesses. They set up phones, cable TVs, Internet, and more.","Techs set up and fix telecommunications equipment. They work in people’s homes and in businesses. They set up phones, cable TVs, Internet, and more.","Telecommunications","Ways to send information from one place to another."
"244","49-2091","49-2091.00","Avionics Technicians","Techs set up, fix, and test equipment used in aircraft and spacecraft. They check that equipment is working well.","Techs set up, fix, and test equipment used in aircraft and spacecraft. They check that equipment is working well.","Tech","Short for technician."
"245","49-2092","49-2092.00","Electric Motor, Power Tool, and Related Repairers","Mechanics set up and fix electric motors, wiring, tools, and switches. They keep machines working well.","Mechanics set up and fix electric motors, wiring, tools, and switches. They keep machines working well.",NA,NA
"246","49-2093","49-2093.00","Electrical and Electronics Installers and Repairers, Transportation Equipment","Techs put in and fix equipment on trains, boats, and other vehicles. They work with electronics.","Techs put in and fix equipment on trains, boats, and other vehicles. They work with electronics.","Vehicle","A machine that moves or carries people or things, such as a truck or car."
"247","49-2097","49-2097.00","Electronic Home Entertainment Equipment Installers and Repairers","Techs set up and fix TVs, stereos, and more. They keep equipment working well.","Techs set up and fix TVs, stereos, and more. They keep equipment working well.","Tech","Short for technician."
"248","49-2098","49-2098.00","Security and Fire Alarm Systems Installers","Installers set up and fix alarms. Those include fire and safety alarms. They work with wiring and equipment. They make sure alarms work well and meet safety rules.","Installers set up and fix alarms. Those include fire and safety alarms. They work with wiring and equipment. They make sure alarms work well and meet safety rules.",NA,NA
"249","49-3011","49-3011.00","Aircraft Mechanics and Service Technicians","Mechanics keep aircraft working well. They check for problems. They make repairs. They fix engines, brakes, and other parts.","Mechanics keep aircraft working well. They check for problems. They make repairs. They fix engines, brakes, and other parts.",NA,NA
"250","49-3041","49-3041.00","Farm Equipment Mechanics and Service Technicians","Mechanics keep farm equipment working well. They check for problems. They make repairs. They fix tractors, dairy equipment, and more.","Mechanics keep farm equipment working well. They check for problems. They make repairs. They fix tractors, dairy equipment, and more.",NA,NA
"251","49-3051","49-3051.00","Motorboat Mechanics and Service Technicians","Mechanics keep motorboats working well. They check for problems. They make repairs. They fix electronics, motors, and more.","Mechanics keep motorboats working well. They check for problems. They make repairs. They fix electronics, motors, and more.",NA,NA
"252","49-9031","49-9031.00","Home Appliance Repairers","Mechanics set up and fix all kinds of household appliances. Those include washers, dryers, ovens, and more.","Mechanics set up and fix all kinds of household appliances. Those include washers, dryers, ovens, and more.",NA,NA
"253","49-9043","49-9043.00","Maintenance Workers, Machinery","Workers keep machines working well. They oil, fix, and change parts.","Workers keep machines working well. They oil, fix, and change parts.",NA,NA
"254","49-9051","49-9051.00","Electrical Power-Line Installers and Repairers","Workers put in and fix power lines. Some put up power poles and towers.","Workers put in and fix power lines. Some put up power poles and towers.",NA,NA
"255","49-9062","49-9062.00","Medical Equipment Repairers","Mechanics set up, test, and fix medical equipment. They keep machines working well.","Mechanics set up, test, and fix medical equipment. They keep machines working well.",NA,NA
"256","49-9063","49-9063.00","Musical Instrument Repairers and Tuners","Workers fix musical instruments. Some make sure instruments are in tune.","Workers fix musical instruments. Some make sure instruments are in tune.",NA,NA
"257","49-9097","49-9097.00","Signal and Track Switch Repairers","Mechanics set up and fix railroad equipment. That includes crossings, signals, switches, and more. They check to make sure equipment is safe and working well.","Mechanics set up and fix railroad equipment. That includes crossings, signals, switches, and more. They check to make sure equipment is safe and working well.",NA,NA
"258","51-2041","51-2041.00","Structural Metal Fabricators and Fitters","Builders and fitters make and put in place the metal parts of structures. They fit parts in place and make sure parts line up.","Builders and fitters make and put in place the metal parts of structures. They fit parts in place and make sure parts line up.","Structure","Something that is built"
"259","51-4011","51-4011.00","Computer-Controlled Machine Tool Operators, Metal and Plastic","Setters use robots or machines that are controlled by computers. The machines cut and shape metal and plastic parts.","Setters use robots or machines that are controlled by computers. The machines cut and shape metal and plastic parts.",NA,NA
"260","51-8021","51-8021.00","Stationary Engineers and Boiler Operators","Engineers run and take care of machines that power, heat, and cool buildings. That includes steam boilers, generators, motors, and more.","Engineers run and take care of machines that power, heat, and cool buildings. That includes steam boilers, generators, motors, and more.","Generators","Machines that make power and electricity."
"261","51-8031","51-8031.00","Water and Wastewater Treatment Plant and System Operators","Workers run a group of machines that clean and treat water and wastewater. They often use control boards to run machines.","Workers run a group of machines that clean and treat water and wastewater. They often use control boards to run machines.",NA,NA
"262","51-8092","51-8092.00","Gas Plant Operators","Workers run machines that make, store, and move gas.","Workers run machines that make, store, and move gas.",NA,NA
"263","51-9082","51-9082.00","Medical Appliance Technicians","Techs make, fit, and fix braces, fake limbs, hearing aids, and more.","Techs make, fit, and fix braces, fake limbs, hearing aids, and more.","Tech","Short for technician."
"264","53-2022","53-2022.00","Airfield Operations Specialists","Specialists make sure aircraft can take off and land safely. They make sure traffic control workers and ground crew work together. They make sure safety rules are followed. They keep flight records. They keep track of the weather.","Specialists make sure aircraft can take off and land safely. They make sure traffic control workers and ground crew work together. They make sure safety rules are followed. They keep flight records. They keep track of the weather.",NA,NA
"265","53-2031","53-2031.00","Flight Attendants","Flight attendants help passengers during flights. They greet people and check tickets. They show passengers how to use safety equipment. They serve food and drinks.","Flight attendants help passengers during flights. They greet people and check tickets. They show passengers how to use safety equipment. They serve food and drinks.",NA,NA
"266","53-6041","53-6041.00","Traffic Technicians","Techs study traffic in order to make it better. They study the amount and speed of traffic. They check to see if traffic signals and lights are set up in a way that makes sense. They work for traffic engineers.","Techs study traffic in order to make it better. They study the amount and speed of traffic. They check to see if traffic signals and lights are set up in a way that makes sense. They work for traffic engineers.","Tech","Short for technician"
"267","53-7021","53-7021.00","Crane and Tower Operators","Workers use cranes to lift and move heavy objects.","Workers use cranes to lift and move heavy objects.","Crane","A tall machine with a long arm. Objects hang from a cable off the arm. The crane moves in all directions. There are many kinds of cranes."
"268","Nov-31","Nov-31.00","Education Administrators, Preschool and Childcare Center/Program","Administrators run preschool and childcare centers. They plan how programs should teach and care for children.  ","Administrators run preschool and childcare centers. They plan how programs should teach and care for children.  ",NA,NA
"269","13-2041","13-2041.00","Credit Analysts","Analysts study whether to give credit or lend money to a person or business. They study data. They study earning statements. They look at risks. They write reports.","Analysts study whether to give credit or lend money to a person or business. They study data. They study earning statements. They look at risks. They write reports.","Credit","The amount of money someone can be trusted to borrow and spend before they pay it back."
"270","13-2061","13-2061.00","Financial Examiners","Examiners make sure people and businesses follow laws and rules. Those rules have to do with money, securities, and real estate deals. Examiners look at and check records.","Examiners make sure people and businesses follow laws and rules. Those rules have to do with money, securities, and real estate deals. Examiners look at and check records.","Financial","Having to do with money."
"271","13-2071","13-2071.00","Credit Counselors","Advisors teach people and businesses about debt. They teach about loans and credit. They help people make plans to spend, borrow, and save money. They offer advice.","Advisors teach people and businesses about debt. They teach about loans and credit. They help people make plans to spend, borrow, and save money. They offer advice.","Credit","The amount of money someone can be trusted to borrow and spend before they pay it back."
"272","17-1012","17-1012.00","Landscape Architects","Designers plan landscapes for outdoor spaces. They design spaces around parks, airports, schools, homes, and more.","Designers plan landscapes for outdoor spaces. They design spaces around parks, airports, schools, homes, and more.","Design","To come up with a plan or pattern."
"273","17-1021","17-1021.00","Cartographers and Photogrammetrists","Mapmakers study and make maps. They collect and use data and photographs taken from the air. Some make maps on a computer. Some make maps as teaching tools.","Mapmakers study and make maps. They collect and use data and photographs taken from the air. Some make maps on a computer. Some make maps as teaching tools.",NA,NA
"274","17-3025","17-3025.00","Environmental Engineering Technicians","Techs use the main ideas of environmental engineering. They try to prevent, control, or fix environmental problems. They test and use equipment to do so. They work under an engineer or scientist.","Techs use the main ideas of environmental engineering. They try to prevent, control, or fix environmental problems. They test and use equipment to do so. They work under an engineer or scientist.","Environmental","Having to do with nature (air, water, land, plants, animals)."
"275","19-2021","19-2021.00","Atmospheric and Space Scientists","Scientists study the facts about weather and space. They collect and study data. They study satellites and radar. They write reports and weather forecasts. They are experts.","Scientists study the facts about weather and space. They collect and study data. They study satellites and radar. They write reports and weather forecasts. They are experts.","Data","Facts, numbers, and information."
"276","19-4092","19-4092.00","Forensic Science Technicians","Techs study physical evidence from crime scenes. That includes bullets, blood, fingerprints, hair, and more. They run tests to help police solve crimes. Some collect evidence. Some speak as expert witnesses in court. Some study only one kind of evidence, in detail.","Techs study physical evidence from crime scenes. That includes bullets, blood, fingerprints, hair, and more. They run tests to help police solve crimes. Some collect evidence. Some speak as expert witnesses in court. Some study only one kind of evidence, in detail.","Tech","Short for technician."
"277","21-1092","21-1092.00","Probation Officers and Correctional Treatment Specialists","Officers and specialists help people in jail or prison, on probation, or on parole. They help make treatment plans. They help offenders plan for release. They explain the rules that must be followed.","Officers and specialists help people in jail or prison, on probation, or on parole. They help make treatment plans. They help offenders plan for release. They explain the rules that must be followed.","Offender","Someone who has broken the law."
"278","21-1094","21-1094.00","Community Health Workers","Workers help people and groups live healthy lives. They run public health programs in neighborhoods. They answer questions, give information, and offer support. They might test blood pressure or offer first-aid. They might collect data to help learn about people’s health needs. They get people help.","Workers help people and groups live healthy lives. They run public health programs in neighborhoods. They answer questions, give information, and offer support. They might test blood pressure or offer first-aid. They might collect data to help learn about people’s health needs. They get people help.","Data","Facts, numbers, and information."
"279","21-2021","21-2021.00","Directors, Religious Activities and Education","Directors plan and run programs for religious groups. Some teach religion. Some plan fun things to do. Some offer help with marriage, health, faith, and money problems.","Directors plan and run programs for religious groups. Some teach religion. Some plan fun things to do. Some offer help with marriage, health, faith, and money problems.","Religious","Following a religion or faith."
"280","25-2012","25-2012.00","Kindergarten Teachers, Except Special Education","Teachers work in public or private schools. They teach young children about music, art, reading, self-care, and simple science. They teach children how to be active, friendly, and smart. They might need a state certificate.","Teachers work in public or private schools. They teach young children about music, art, reading, self-care, and simple science. They teach children how to be active, friendly, and smart. They might need a state certificate.","Kindergarten","The year of schooling before first grade."
"281","25-2021","25-2021.00","Elementary School Teachers, Except Special Education","Teachers work in public or private schools. They teach students different subjects, such as math, reading, science, and more.","Teachers work in public or private schools. They teach students different subjects, such as math, reading, science, and more.",NA,NA
"282","25-2023","25-2023.00","Career/Technical Education Teachers, Middle School","Teachers work in public or private schools. They teach career and workforce skills to middle school students.","Teachers work in public or private schools. They teach career and workforce skills to middle school students.","Middle school","School that teaches students who are between grade school and high school."
"283","25-2031","25-2031.00","Secondary School Teachers, Except Special and Career/Technical Education","Teachers work in public or private high schools. They teach one or more subjects. Those include English, math, history, and more.","Teachers work in public or private high schools. They teach one or more subjects. Those include English, math, history, and more.",NA,NA
"284","27-1024","27-1024.00","Graphic Designers","Designers make artworks and logos to help sell products. They design packaging, displays, and more.","Designers make artworks and logos to help sell products. They design packaging, displays, and more.","Design","To come up with a plan or pattern."
"285","27-1025","27-1025.00","Interior Designers","Designers plan and furnish the insides of homes, buildings, and businesses. They come up with useful, pretty designs. They make places look better or work better.","Designers plan and furnish the insides of homes, buildings, and businesses. They come up with useful, pretty designs. They make places look better or work better.","Interior","The inside of something."
"286","29-1125","29-1125.00","Recreational Therapists","Therapists plan and lead fun activities for patients. They work in hospitals, nursing homes, and other healthcare settings. They plan games, sports, trips, arts and crafts, and more.","Therapists plan and lead fun activities for patients. They work in hospitals, nursing homes, and other healthcare settings. They plan games, sports, trips, arts and crafts, and more.","Recreational","Having to do with fun."
"287","29-2011","29-2011.00","Medical and Clinical Laboratory Technologists","Technologists run medical tests. Some train other workers. Some watch over other workers.","Technologists run medical tests. Some train other workers. Some watch over other workers.","Lab","Short for laboratory. A place where tests are done."
