SOC,Title,Job Zone,Group,Total,Hourly Median,Annual Median,2014 Distribution (%),2024 Distribution (%),Change (Total),Change (%),2014-2024 Openings,Description
29-2057,Ophthalmic Medical Technicians,3,Healthcare Practitioners & Technical,43990,17.08,35530,0,0,9.1,24.7,12.8,"Assist ophthalmologists by performing ophthalmic clinical functions. May administer eye exams, administer eye medications, and instruct the patient in care and use of corrective lenses."
29-2061,Licensed Practical and Licensed Vocational Nurses,3,Healthcare Practitioners & Technical,702400,21.2,44090,0.5,0.5,117.3,16.3,322.2,"Care for ill, injured, or convalescing patients or persons with disabilities in hospitals, nursing homes, clinics, private homes, group homes, and similar institutions. May work under the supervision of a registered nurse. Licensing required."
29-2071,Medical Records and Health Information Technicians,3,Healthcare Practitioners & Technical,200140,18.29,38040,0.1,0.1,29,15.4,71.2,"Compile, process, and maintain medical records of hospital and clinic patients in a manner consistent with medical, administrative, ethical, legal, and regulatory requirements of the health care system. Process, maintain, compile, and report patient information for health requirements and standards in a manner consistent with the healthcare industry's numerical coding system."
29-2081,"Opticians, Dispensing",3,Healthcare Practitioners & Technical,75270,17.08,35530,0,0.1,17.8,23.7,37.9,"Design, measure, fit, and adapt lenses and frames for client according to written optical prescription or specification. Assist client with inserting, removing, and caring for contact lenses. Assist client with selecting frames. Measure customer for size of eyeglasses and coordinate frames with facial and eye measurements and optical prescription. Prepare work order for optical laboratory containing instructions for grinding and mounting lenses in frames. Verify exactness of finished lens spectacles. Adjust frame and lens position to fit client. May shape or reshape frames. Includes contact lens opticians."
29-2092,Hearing Aid Specialists,3,Healthcare Practitioners & Technical,6740,24.16,50250,0,0,1.6,27.2,2.2,"Select and fit hearing aids for customers. Administer and interpret tests of hearing. Assess hearing instrument efficacy. Take ear impressions and prepare, design, and modify ear molds."
29-9012,Occupational Health and Safety Technicians,3,Healthcare Practitioners & Technical,16560,23.47,48820,0,0,1.4,9.1,4.4,"Collect data on work environments for analysis by occupational health and safety specialists. Implement and conduct evaluation of programs designed to limit chemical, physical, biological, and ergonomic risks to workers."
31-2011,Occupational Therapy Assistants,3,Healthcare Support,38170,28.37,59010,0,0,14.1,42.7,23.6,"Assist occupational therapists in providing occupational therapy treatments and procedures. May, in accordance with State laws, assist in development of treatment plans, carry out routine functions, direct activity programs, and document the progress of treatments. Generally requires formal training."
31-2012,Occupational Therapy Aides,3,Healthcare Support,7210,13.62,28330,0,0,2.7,30.6,5.3,"Under close supervision of an occupational therapist or occupational therapy assistant, perform only delegated, selected, or routine tasks in specific situations. These duties include preparing patient and treatment room."
31-2021,Physical Therapist Assistants,3,Healthcare Support,85580,27.21,56610,0.1,0.1,31.9,40.6,54.7,"Assist physical therapists in providing physical therapy treatments and procedures. May, in accordance with State laws, assist in the development of treatment plans, carry out routine functions, document the progress of treatment, and modify specific treatments in accordance with patient status and within the scope of treatment plans established by a physical therapist. Generally requires formal training."
31-9011,Massage Therapists,3,Healthcare Support,95830,19.17,39860,0.1,0.1,36.5,21.6,49,"Perform therapeutic massages of soft tissues and joints. May assist in the assessment of range of motion and muscle strength, or propose client therapy plans."
31-9091,Dental Assistants,3,Healthcare Support,327290,17.76,36940,0.2,0.2,58.6,18.4,137.5,"Assist dentist, set up equipment, prepare patient for treatment, and keep records."
31-9092,Medical Assistants,3,Healthcare Support,623560,15.17,31540,0.4,0.5,138.9,23.5,262.1,"Perform administrative and certain clinical duties under the direction of a physician. Administrative duties may include scheduling appointments, maintaining medical records, billing, and coding information for insurance purposes. Clinical duties may include taking and recording vital signs and medical histories, preparing patients for examination, drawing blood, and administering medications as directed by physician."
31-9094,Medical Transcriptionists,3,Healthcare Support,54070,17.17,35720,0,0,-2.2,-3.1,14.6,"Transcribe medical reports recorded by physicians and other healthcare practitioners using various electronic devices, covering office visits, emergency room visits, diagnostic imaging studies, operations, chart reviews, and final summaries. Transcribe dictated reports and translate abbreviations into fully understandable form. Edit as necessary and return reports in either printed or electronic form for review and signature, or correction."
31-9096,Veterinary Assistants and Laboratory Animal Caretakers,3,Healthcare Support,79990,12.14,25250,0,0,6.6,9,21.9,"Feed, water, and examine pets and other nonfarm animals for signs of illness, disease, or injury in laboratories and animal hospitals and clinics. Clean and disinfect cages and work areas, and sterilize laboratory and surgical equipment. May provide routine post-operative care, administer medication orally or topically, or prepare samples for laboratory examination under the supervision of veterinary or laboratory animal technologists or technicians, veterinarians, or scientists."
31-9097,Phlebotomists,3,Healthcare Support,120970,15.72,32710,0.1,0.1,28.1,24.9,51.6,"Draw blood for tests, transfusions, donations, or research. May explain the procedure to patients and assist in the recovery of patients with adverse reactions."
33-1011,First-Line Supervisors of Correctional Officers,3,Protective Service,43230,29.12,60560,0,0,1.5,3.1,15.3,Directly supervise and coordinate activities of correctional officers and jailers.
39-1021,First-Line Supervisors of Personal Service Workers,3,Personal Care & Service,190420,17.65,36700,0.2,0.2,28,10.9,76.4,"Directly supervise and coordinate activities of personal service workers, such as flight attendants, hairdressers, or caddies."
39-4031,"Morticians, Undertakers, and Funeral Directors",3,Personal Care & Service,25850,24.08,50090,0,0,2.1,6.7,8.9,"Perform various tasks to arrange and direct funeral services, such as coordinating transportation of body to mortuary, interviewing family or other authorized person to arrange details, selecting pallbearers, aiding with the selection of officials for religious rites, and providing transportation for mourners."
39-5011,Barbers,3,Personal Care & Service,15900,12.38,25760,0,0,6,10.1,17,"Provide barbering services, such as cutting, trimming, shampooing, and styling hair, trimming beards, or giving shaves."
39-5012,"Hairdressers, Hairstylists, and Cosmetologists",3,Personal Care & Service,352380,11.66,24260,0.4,0.4,58.4,9.8,212.1,"Provide beauty services, such as shampooing, cutting, coloring, and styling hair, and massaging and treating scalp. May apply makeup, dress wigs, perform hair removal, and provide nail and skin care services."
39-5094,Skincare Specialists,3,Personal Care & Service,43980,14.55,30270,0,0,6.6,12.1,10.9,Provide skincare treatments to face and body to enhance an individual's appearance. Includes electrologists and laser hair removal specialists.
39-6012,Concierges,3,Personal Care & Service,32020,14.06,29250,0,0,3.3,10.4,9.6,"Assist patrons at hotel, apartment, or office building with personal services. May take messages, arrange or give advice on transportation, business services or entertainment, or monitor guest requests for housekeeping and maintenance."
39-7011,Tour Guides and Escorts,3,Personal Care & Service,38660,11.98,24920,0,0,2.2,5.1,19.3,"Escort individuals or groups on sightseeing tours or through places of interest, such as industrial establishments, public buildings, and art galleries."
39-9031,Fitness Trainers and Aerobics Instructors,3,Personal Care & Service,257410,18.34,38160,0.2,0.2,23.4,8.4,74.9,"Instruct or coach groups or individuals in exercise activities. Demonstrate techniques and form, observe participants, and explain to them corrective measures necessary to improve their skills."
39-9041,Residential Advisors,3,Personal Care & Service,110330,12.29,25570,0.1,0.1,14.1,13.6,45.7,"Coordinate activities in residential facilities in secondary and college dormitories, group homes, or similar establishments. Order supplies and determine need for maintenance, repairs, and furnishings. May maintain household records and assign rooms. May assist residents with problem solving or refer them to counseling resources."
41-3011,Advertising Sales Agents,3,Sales & Related,141100,24.22,50380,0.1,0.1,-4.5,-2.7,49.8,"Sell or solicit advertising space, time, or media in publications, signage, TV, radio, or the Internet. Includes individuals who obtain leases for outdoor advertising sites or persuade retailers to use sales promotion display items."
41-9022,Real Estate Sales Agents,3,Sales & Related,151840,21.2,44090,0.2,0.2,9.4,2.8,33,"Rent, buy, or sell property for clients. Perform duties, such as study property listings, interview prospective clients, accompany clients to property site, discuss conditions of sale, and draw up real estate contracts. Includes agents who represent buyer."
43-4011,Brokerage Clerks,3,Office & Administrative Support,59820,23.65,49200,0,0,5.2,9,19.1,"Perform duties related to the purchase, sale or holding of securities. Duties include writing orders for stock purchases or sales, computing transfer taxes, verifying stock transactions, accepting and delivering securities, tracking stock price fluctuations, computing equity, distributing dividends, and keeping records of daily transactions and holdings."
43-4061,"Eligibility Interviewers, Government Programs",3,Office & Administrative Support,135940,20.84,43350,0.1,0.1,2.1,1.6,16.3,"Determine eligibility of persons applying to receive assistance from government programs and agency resources, such as welfare, unemployment benefits, social security, and public housing."
43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",3,Office & Administrative Support,137150,18.76,39020,0.1,0.1,-5.8,-4.1,15.9,"Compile and keep personnel records. Record data for each employee, such as address, weekly earnings, absences, amount of sales or production, supervisory reports, and date of and reason for termination. May prepare reports for employment records, file employment records, or search employee files and furnish information to authorized persons."
43-5061,"Production, Planning, and Expediting Clerks",3,Office & Administrative Support,321780,22.48,46760,0.2,0.2,6.3,2.1,88.9,"Coordinate and expedite the flow of work and materials within or between departments of an establishment according to production schedule. Duties include reviewing and distributing production, work, and shipment schedules; conferring with department supervisors to determine progress of work and completion dates; and compiling reports on progress of work, inventory levels, costs, and production problems."
43-6013,Medical Secretaries,3,Office & Administrative Support,556820,16.22,33730,0.4,0.4,108.2,20.5,163.8,"Perform secretarial duties using specific knowledge of medical terminology and hospital, clinic, or laboratory procedures. Duties may include scheduling appointments, billing patients, and compiling and recording medical charts, reports, and correspondence."
43-6014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",3,Office & Administrative Support,2295510,16.74,34820,1.6,1.6,64,2.6,323.1,"Perform routine clerical and administrative functions such as drafting correspondence, scheduling appointments, organizing and maintaining paper and electronic files, or providing information to callers."
47-2011,Boilermakers,3,Contruction & Extraction,16660,29.84,62060,0,0,1.5,8.7,4.2,"Construct, assemble, maintain, and repair stationary steam boilers and boiler house auxiliaries. Align structures or plate sections to assemble boiler frame tanks or vats, following blueprints. Work involves use of hand and power tools, plumb bobs, levels, wedges, dogs, or turnbuckles. Assist in testing assembled vessels. Direct cleaning of boilers and boiler furnaces. Inspect and repair boiler fittings, such as safety valves, regulators, automatic-control mechanisms, water columns, and auxiliary machines."
47-4041,Hazardous Materials Removal Workers,3,Contruction & Extraction,44280,19.54,40640,0,0,3.3,7.4,13,"Identify, remove, pack, transport, or dispose of hazardous materials, including asbestos, lead-based paint, waste oil, fuel, transmission fluid, radioactive materials, or contaminated soil. Specialized training and certification in hazardous materials handling or a confined entry permit are generally required. May operate earth-moving equipment or trucks."
49-2011,"Computer, Automated Teller, and Office Machine Repairers",3,"Installation, Maintenance, & Repair",102170,17.84,37100,0.1,0.1,3.2,2.4,28.6,"Repair, maintain, or install computers, word processing systems, automated teller machines, and electronic office machines, such as duplicating and fax machines."
49-2022,"Telecommunications Equipment Installers and Repairers, Except Line Installers",3,"Installation, Maintenance, & Repair",228430,25.79,53640,0.1,0.1,-7.8,-3.6,19.7,"Install, set-up, rearrange, or remove switching, distribution, routing, and dialing equipment used in central offices or headends. Service or repair telephone, cable television, Internet, and other communications equipment on customers' property. May install communications equipment or communications wiring in buildings."
49-2091,Avionics Technicians,3,"Installation, Maintenance, & Repair",17330,29.21,60760,0,0,0.1,0.4,3.1,"Install, inspect, test, adjust, or repair avionics equipment, such as radar, radio, navigation, and missile control systems in aircraft or space vehicles."
49-2092,"Electric Motor, Power Tool, and Related Repairers",3,"Installation, Maintenance, & Repair",17050,19.99,41570,0,0,0.7,3.6,6,"Repair, maintain, or install electric motors, wiring, or switches."
49-2093,"Electrical and Electronics Installers and Repairers, Transportation Equipment",3,"Installation, Maintenance, & Repair",13960,28.5,59280,0,0,0.7,4.4,3.2,"Install, adjust, or maintain mobile electronics communication equipment, including sound, sonar, security, navigation, and surveillance systems on trains, watercraft, or other mobile equipment."
49-2097,Electronic Home Entertainment Equipment Installers and Repairers,3,"Installation, Maintenance, & Repair",25550,17.99,37410,0,0,0.7,2.4,4.9,"Repair, adjust, or install audio or television receivers, stereo systems, camcorders, video systems, or other electronic home entertainment equipment."
49-2098,Security and Fire Alarm Systems Installers,3,"Installation, Maintenance, & Repair",67700,21.31,44330,0,0,8.2,12.9,24.1,"Install, program, maintain, or repair security or fire alarm wiring and equipment. Ensure that work is in accordance with relevant codes."
49-3011,Aircraft Mechanics and Service Technicians,3,"Installation, Maintenance, & Repair",128570,28.93,60170,0.1,0.1,1.6,1.3,30.1,"Diagnose, adjust, repair, or overhaul aircraft engines and assemblies, such as hydraulic and pneumatic systems. Includes helicopter and aircraft engine specialists."
49-3041,Farm Equipment Mechanics and Service Technicians,3,"Installation, Maintenance, & Repair",35110,18.18,37820,0,0,2.9,7.2,12.4,"Diagnose, adjust, repair, or overhaul farm machinery and vehicles, such as tractors, harvesters, dairy equipment, and irrigation systems."
49-3042,"Mobile Heavy Equipment Mechanics, Except Engines",3,"Installation, Maintenance, & Repair",123570,23.73,49370,0.1,0.1,6.6,5.3,36,"Diagnose, adjust, repair, or overhaul mobile mechanical, hydraulic, and pneumatic equipment, such as cranes, bulldozers, graders, and conveyors, used in construction, logging, and surface mining."
49-3051,Motorboat Mechanics and Service Technicians,3,"Installation, Maintenance, & Repair",20260,18.65,38780,0,0,0.6,2.7,5.1,Repair and adjust electrical and mechanical equipment of inboard or inboard-outboard boat engines.
49-9031,Home Appliance Repairers,3,"Installation, Maintenance, & Repair",33480,18.06,37570,0,0,-1.6,-3.4,12.5,"Repair, adjust, or install all types of electric or gas household appliances, such as refrigerators, washers, dryers, and ovens."
49-9043,"Maintenance Workers, Machinery",3,"Installation, Maintenance, & Repair",89630,21.42,44550,0.1,0.1,7.4,8.2,22.1,"Lubricate machinery, change parts, or perform other routine machinery maintenance."
49-9051,Electrical Power-Line Installers and Repairers,3,"Installation, Maintenance, & Repair",117670,32.7,68010,0.1,0.1,13,11,60.3,Install or repair cables or wires used in electrical power or distribution systems. May erect poles and light or heavy duty transmission towers.
49-9062,Medical Equipment Repairers,3,"Installation, Maintenance, & Repair",43370,23.11,48070,0,0,2.9,6.1,11.5,"Test, adjust, or repair biomedical or electromedical equipment."
49-9063,Musical Instrument Repairers and Tuners,3,"Installation, Maintenance, & Repair",7980,16.83,35010,0,0,0.4,4.2,1.9,"Repair percussion, stringed, reed, or wind instruments. May specialize in one area, such as piano tuning."
49-9097,Signal and Track Switch Repairers,3,"Installation, Maintenance, & Repair",8680,31.42,65350,0,0,0,-0.1,1.5,"Install, inspect, test, maintain, or repair electric gate crossings, signals, signal equipment, track switches, section lines, or intercommunications systems within a railroad system."
51-2041,Structural Metal Fabricators and Fitters,3,Production,77270,18.14,37730,0.1,0.1,1.6,2,14.6,"Fabricate, position, align, and fit parts of structural metal products."
51-4011,"Computer-Controlled Machine Tool Operators, Metal and Plastic",3,Production,146190,18.21,37880,0.1,0.1,26,17.5,71.2,Operate computer-controlled machines or robots to perform one or more machine functions on metal or plastic work pieces.
51-8021,Stationary Engineers and Boiler Operators,3,Production,33720,28.56,59400,0,0,0.6,1.4,11.2,"Operate or maintain stationary engines, boilers, or other mechanical equipment to provide utilities for buildings or industrial processes. Operate equipment, such as steam engines, generators, motors, turbines, and steam boilers."
51-8031,Water and Wastewater Treatment Plant and System Operators,3,Production,115840,22,45760,0.1,0.1,7,6,36.7,"Operate or control an entire process or system of machines, often through the use of control boards, to transfer or treat water or wastewater."
51-8092,Gas Plant Operators,3,Production,17350,32.49,67580,0,0,-0.6,-3.4,6.3,Distribute or process gas for utility companies and others by controlling compressors to maintain specified pressures on main pipelines.
51-9082,Medical Appliance Technicians,3,Production,14570,17.3,35980,0,0,1.6,10.7,5.1,"Construct, fit, maintain, or repair medical supportive devices, such as braces, orthotics and prosthetic devices, joints, arch supports, and other surgical and medical appliances."
53-2022,Airfield Operations Specialists,3,Transportation & Material Moving,8760,23.51,48910,0,0,0.3,3.9,2.5,Ensure the safe takeoff and landing of commercial and military aircraft. Duties include coordination between air-traffic control and maintenance personnel; dispatching; using airfield landing and navigational aids; implementing airfield safety procedures; monitoring and maintaining flight records; and applying knowledge of weather information.
53-2031,Flight Attendants,3,Transportation & Material Moving,113390,NA,48500,0.1,0.1,2.2,2.2,20.1,"Provide personal services to ensure the safety, security, and comfort of airline passengers during flight. Greet passengers, verify tickets, explain use of safety equipment, and serve food or beverages."
53-6041,Traffic Technicians,3,Transportation & Material Moving,6410,21.71,45150,0,0,0.4,6.3,3.9,"Conduct field studies to determine traffic volume, speed, effectiveness of signals, adequacy of lighting, and other factors influencing traffic conditions, under direction of traffic engineer."
53-7021,Crane and Tower Operators,3,Transportation & Material Moving,45020,25.08,52170,0,0,3.4,7.6,19.2,"Operate mechanical boom and cable or tower and cable equipment to lift and move materials, machines, or products in many directions."
11-9031,"Education Administrators, Preschool and Childcare Center/Program",4,Management,48530,22.01,45790,0,0,4.2,6.6,22.9,"Plan, direct, or coordinate the academic and nonacademic activities of preschool and childcare centers or programs."
11-9081,Lodging Managers,4,Management,35410,24.93,51840,0,0,3.7,7.6,13,"Plan, direct, or coordinate activities of an organization or department that provides lodging and other accommodations."
13-2041,Credit Analysts,4,Business & Financial Operations,72930,33.62,69930,0,0,4.2,6.1,34.3,Analyze credit data and financial statements of individuals or firms to determine the degree of risk involved in extending credit or lending money. Prepare reports with credit information for use in decision making.
13-2061,Financial Examiners,4,Business & Financial Operations,49750,38.11,79280,0,0,3.7,9.7,13.1,"Enforce or ensure compliance with laws and regulations governing financial and securities institutions and financial and real estate transactions. May examine, verify, or authenticate records."
13-2071,Credit Counselors,4,Business & Financial Operations,34110,21.34,44380,0,0,5,15.5,10.5,"Advise and educate individuals or organizations on acquiring and managing debt. May provide guidance in determining the best type of loan and explaining loan requirements or restrictions. May help develop debt management plans, advise on credit issues, or provide budget, mortgage, and bankruptcy counseling."
17-1012,Landscape Architects,4,Architecture & Engineering,19420,30.52,63480,0,0,1.2,5.5,4.9,"Plan and design land areas for projects such as parks and other recreational facilities, airports, highways, hospitals, schools, land subdivisions, and commercial, industrial, and residential sites."
17-1021,Cartographers and Photogrammetrists,4,Architecture & Engineering,12100,30.17,62750,0,0,3.6,29.3,7.4,"Collect, analyze, and interpret geographic information provided by geodetic surveys, aerial photographs, and satellite data. Research, study, and prepare maps and other spatial data in digital or graphic form for legal, social, political, educational, and design purposes. May work with Geographic Information Systems (GIS). May design and evaluate algorithms, data structures, and user interfaces for GIS and mapping systems."
17-2041,Chemical Engineers,4,Architecture & Engineering,31990,47.28,98340,0,0,0.6,1.8,10,"Design chemical plant equipment and devise processes for manufacturing chemicals and products, such as gasoline, synthetic rubber, plastics, detergents, cement, paper, and pulp, by applying principles and technology of chemistry, physics, and engineering."
17-2161,Nuclear Engineers,4,Architecture & Engineering,17680,49.14,102220,0,0,-0.7,-4,4.4,"Conduct research on nuclear engineering projects or apply principles and theory of nuclear science to problems concerned with release, control, and use of nuclear energy and nuclear waste disposal."
17-3025,Environmental Engineering Technicians,4,Architecture & Engineering,16550,23.64,49170,0,0,1.9,10,6.4,"Apply theory and principles of environmental engineering to modify, test, and operate equipment and devices used in the prevention, control, and remediation of environmental problems, including waste treatment and site remediation, under the direction of engineering staff or scientist. May assist in the development of environmental remediation devices."
19-2021,Atmospheric and Space Scientists,4,"Life, Physical, & Social Science",9800,44.45,92460,0,0,1.1,9.2,3.3,"Investigate atmospheric phenomena and interpret meteorological data, gathered by surface and air stations, satellites, and radar to prepare reports and forecasts for public and other uses. Includes weather analysts and forecasters whose functions require the detailed knowledge of meteorology."
19-4092,Forensic Science Technicians,4,"Life, Physical, & Social Science",14800,27.29,56750,0,0,3.8,26.6,9.9,"Collect, identify, classify, and analyze physical evidence related to criminal investigations. Perform tests on weapons or substances, such as fiber, hair, and tissue to determine significance to investigation. May testify as expert witnesses on evidence or crime laboratory techniques. May serve as specialists in area of expertise, such as ballistics, fingerprinting, handwriting, or biochemistry."
21-1092,Probation Officers and Correctional Treatment Specialists,4,Community & social Service,87500,24.12,50160,0.1,0.1,3.3,3.6,21.3,"Provide social services to assist in rehabilitation of law offenders in custody or on probation or parole. Make recommendations for actions involving formulation of rehabilitation plan and treatment of offender, including conditional release and education and employment stipulations."
21-1094,Community Health Workers,4,Community & social Service,51900,17.95,37330,0,0,8.1,14.9,18.8,"Assist individuals and communities to adopt healthy behaviors. Conduct outreach for medical personnel or health organizations to implement programs in the community that promote, maintain, and improve individual and community health. May provide information on available resources, provide social support and informal counseling, advocate for individuals and community health needs, and provide services such as first aid and blood pressure screening. May collect data to help identify community health needs."
21-2021,"Directors, Religious Activities and Education",4,Community & social Service,20590,18.56,38610,0.1,0.1,5.7,4.3,41.2,"Plan, direct, or coordinate programs designed to promote the religious education or activities of a denominational group. May provide counseling and guidance relative to marital, health, financial, and religious problems."
25-2012,"Kindergarten Teachers, Except Special Education",4,"Education, Training, & Library",151290,NA,52620,0.1,0.1,9.5,5.9,56.1,"Teach elemental natural and social science, personal hygiene, music, art, and literature to kindergarten students. Promote physical, mental, and social development. May be required to hold State certification."
25-2021,"Elementary School Teachers, Except Special Education",4,"Education, Training, & Library",1392660,NA,55800,0.9,0.9,78.3,5.8,378.7,"Teach students basic academic, social, and other formative skills in public or private schools at the elementary level."
25-2023,"Career/Technical Education Teachers, Middle School",4,"Education, Training, & Library",12730,NA,57560,0,0,0.8,5.9,3.9,"Teach occupational, career and technical, or vocational subjects in public or private schools at the middle, intermediate, or junior high level, which falls between elementary and senior high school as defined by applicable laws and regulations."
25-2031,"Secondary School Teachers, Except Special and Career/Technical Education",4,"Education, Training, & Library",1003250,NA,58030,0.6,0.6,55.9,5.8,284,"Teach students in one or more subjects, such as English, mathematics, or social studies at the secondary level in public or private schools. May be designated according to subject matter specialty."
27-1024,Graphic Designers,4,"Arts, Design, Entertainment, Sports, & Media",210710,22.9,47640,0.2,0.2,3.6,1.4,65.8,"Design or create graphics to meet specific commercial or promotional needs, such as packaging, displays, or logos. May use a variety of mediums to achieve artistic or decorative effects."
27-1025,Interior Designers,4,"Arts, Design, Entertainment, Sports, & Media",53160,23.95,49810,0,0,2.2,3.8,16.2,"Plan, design, and furnish interiors of residential, commercial, or industrial buildings. Formulate design which is practical, aesthetic, and conducive to intended purposes, such as raising productivity, selling merchandise, or improving life style. May specialize in a particular field, style, or phase of interior design."
29-1125,Recreational Therapists,4,Healthcare Practitioners & Technical,18100,22.31,46410,0,0,2.2,12,6.6,"Plan, direct, or coordinate medically-approved recreation programs for patients in hospitals, nursing homes, or other institutions. Activities include sports, trips, dramatics, social activities, and arts and crafts. May assess a patient condition and recommend appropriate recreational activity."
29-2011,Medical and Clinical Laboratory Technologists,4,Healthcare Practitioners & Technical,166730,29.36,61070,0.1,0.1,23.1,14,62.5,"Perform complex medical laboratory tests for diagnosis, treatment, and prevention of disease. May train or supervise staff."
33-3031,Fish and Game Wardens,4,Protective Service,6610,24.87,51730,0,0,0.1,1.9,2,Patrol assigned area to prevent fish and game law violations. Investigate reports of damage to crops or property by wildlife. Compile biological data.
39-9032,Recreation Workers,4,Personal Care & Service,336880,11.48,23870,0.3,0.3,38.9,10.3,108.9,"Conduct recreation activities with groups in public, private, or volunteer agencies or recreation facilities. Organize and promote activities, such as arts and crafts, sports, games, music, dramatics, social recreation, camping, and hobbies, taking into account the needs and interests of individual members."
41-3021,Insurance Sales Agents,4,Sales & Related,385700,24.03,49990,0.3,0.3,43.5,9.3,165.8,"Sell life, property, casualty, health, automotive, or other types of insurance. May refer clients to independent brokers, work as an independent broker, or be employed by an insurance company."
41-9021,Real Estate Brokers,4,Sales & Related,40850,27.3,56790,0.1,0.1,1.5,1.8,7.3,"Operate real estate office, or work for commercial real estate firm, overseeing real estate transactions. Other duties usually include selling real estate or renting properties and arranging loans."
43-9081,Proofreaders and Copy Markers,4,Office & Administrative Support,11430,17.77,36960,0,0,-0.3,-2.4,2.6,"Read transcript or proof type setup to detect and mark for correction any grammatical, typographical, or compositional errors. Includes proofreaders of Braille."
